# Semantic function/data names from a SECOND decompilation of SLUS_014.11
# (Unchiga's tree, shared 2026-08-30).  ANNOTATION ONLY -- nothing here is
# evidence and nothing in this repo is renamed to match it.
#
# Why it is a separate file and not a rename:  every tool, every PARKED.txt
# entry and every paragraph of WORKFLOW.md is keyed to the `func_%08X` /
# `D_%08X` form, and the address form is the one thing that cannot be wrong.
# These names are interpretation -- they were arrived at under a different
# toolchain by reading the same listings we read, and a name that is subtly
# wrong is worse than no name because it survives in comments long after the
# reading that produced it was corrected.  Treat a name here exactly the way
# docs/EXTERNAL_LEADS.txt says to treat a wiki guess: a hypothesis to check
# against a listing.
#
# What it is good for: reading a 170-instruction function faster.  Knowing a
# loop walks the fusion table before writing a line is worth real time, and
# that is the same argument the community RAM map earned its place on.
#
# REFRESHED 2026-08-31 from his tangos/work branch: 365 names added.
#
# addr        kind  canonical                their name
0x80010000  data  D_80010000        D_80010000_arr
0x800129D8  func  func_800129D8     __SN_ENTRY_POINT
0x80012A78  func  func_80012A78     __main
0x80012AE8  func  func_80012AE8     __do_global_dtors
0x80012CD4  func  func_80012CD4     D_80012CD4_fn
0x80012D4C  func  func_80012D4C     call_four_update_funcs
0x80012D84  func  func_80012D84     call_80012d4c_n_times
0x80012E5C  func  func_80012E5C     gpu_disp_buff_swap_and_ot_sort_dispatch
0x800143DC  func  func_800143DC     copy_9e18_to_9e60_and_flags
0x80014EEC  func  func_80014EEC     reinit_d800e9e60_obj
0x800154E4  func  func_800154E4     draw_screen_fade_overlay
0x800157DC  func  func_800157DC     call_80015780_flags_and_8001572c
0x80015870  func  func_80015870     reset_9ec8_state_if_flag145
0x80015998  func  func_80015998     loop_call_four_update_funcs_while_flag80
0x80015B50  func  func_80015B50     call_800158b8_flag_80015870_and_loop
0x80015C0C  func  func_80015C0C     call_80015780_flag_and_8001572c
0x80016D04  func  func_80016D04     forward_fields_30_32_to_80016784
0x80016D2C  func  func_80016D2C     draw_digit_sprites
0x80016E70  func  func_80016E70     draw_digit_widget_pair
0x8001700C  func  func_8001700C     card_flag_test_c000
0x80017034  func  func_80017034     card_pick_on_up
0x800170C8  func  func_800170C8     calc_clamped_pair
0x800171A8  func  func_800171A8     select_sound_preset
0x8001755C  func  func_8001755C     call_530c4_533d8_56250
0x800176D0  func  func_800176D0     hand_slots_clear
0x80018DB4  func  func_80018DB4     duel_field_slot_spawn_dispatch
0x80019564  func  func_80019564     spawn_container_marker_obj
0x80019A08  func  func_80019A08     equip_table_lookup
0x80019A60  func  func_80019A60     fusion_table_lookup
0x80019B2C  func  func_80019B2C     counter_tween_tick
0x80019BA0  func  func_80019BA0     counter_tween_start
0x80019CC8  func  func_80019CC8     call_ccce4_guarded_offset288
0x8001B0CC  func  func_8001B0CC     project_slot_to_screen_x
0x8001B780  func  func_8001B780     card_slot_set_xy
0x8001B8B8  func  func_8001B8B8     hand_slots_dim
0x8001BAF0  func  func_8001BAF0     deck_swap_redeal
0x8001BD48  func  func_8001BD48     pad_l2_arm_flag
0x8001D3C4  func  func_8001D3C4     tick_lerp_position_toward_target
0x8001F364  func  func_8001F364     duel_flags_state_and_field_spawn_dispatch
0x80020D4C  func  func_80020D4C     update_orbiting_effect_obj
0x80021894  func  func_80021894     ring_buffer_insert_801d0200
0x80022EEC  func  func_80022EEC     apply_stat_template_or_delete
0x800235C0  func  func_800235C0     update_active_move_record
0x80023FBC  func  func_80023FBC     decode_status_flags_call_80023d08
0x800240B0  func  func_800240B0     cursor_card_pick_tick
0x800245EC  func  func_800245EC     duel_seq_step
0x80024704  func  func_80024704     card_id_compare
0x800249E0  func  func_800249E0     card_record_fill
0x80024C1C  func  func_80024C1C     spawn_card_type_icon_obj
0x80024D34  func  func_80024D34     opponent_field_record_fill
0x80024DC8  func  func_80024DC8     init_800eb26c_fields_from_args
0x80024E24  func  func_80024E24     flag80_test_and_set
0x800255FC  func  func_800255FC     arm_field_effect_marker
0x80025BEC  func  func_80025BEC     spawn_or_rearm_field_effect_marker
0x800262D4  func  func_800262D4     obj_lifecycle_state_dispatch
0x80026C6C  func  func_80026C6C     table801a7ad8_collect_below_threshold
0x80026D18  func  func_80026D18     table801a7ad8_find_matches
0x80028220  func  func_80028220     init_801ab00c_pair
0x800291E0  func  func_800291E0     init_container_entry_objs
0x80029528  func  func_80029528     call_4036c_clear_entry_fields
0x80029EB0  func  func_80029EB0     list_entry_byte
0x8002A660  func  func_8002A660     scroll_follow_cursor
0x8002C518  func  func_8002C518     test_byte_flag_591_else_find_id_index
0x8002C598  func  func_8002C598     reset_pool_800ead88
0x8002C6C8  func  func_8002C6C8     duel_phase_overlay_dispatch
0x8002C7E8  func  func_8002C7E8     table801a7ad8_recipe_lookup
0x8002C9B4  func  func_8002C9B4     collect_field_slot_ptrs
0x8002CD48  func  func_8002CD48     call_ccca8_then_cce4_if_zero
0x8002CDE8  func  func_8002CDE8     __builtin_vec_new
0x8002CE08  func  func_8002CE08     mask_test_call_800eb26c_two_calls
0x8002CE64  func  func_8002CE64     mask_test_800eb26c_notify_and_recheck
0x8002D684  func  func_8002D684     mask_test_call_800eb26c
0x8002D7CC  func  func_8002D7CC     spawn_fade_teardown_dispatch
0x8002DC38  func  func_8002DC38     mask_test_800eb26c_reinit_and_poll
0x8002E470  func  func_8002E470     stream_read_index_and_check_ready
0x8002F9D4  func  func_8002F9D4     read_stream_u16le_call_8002ee5c
0x80030198  func  func_80030198     init_duel_field_state
0x80030250  func  func_80030250     init_800eb2c0_fields_from_args
0x80030CB0  func  func_80030CB0     guarded_init_and_poll_result
0x80030D5C  func  func_80030D5C     guarded_init_and_notify
0x80030E30  func  func_80030E30     mask_test_call_800eb2eb_state3
0x80030E7C  func  func_80030E7C     mask_test_call_800eb2eb_state4
0x80031E04  func  func_80031E04     call_31cd4_loop
0x80032328  func  func_80032328     call_14e1c_137e4
0x80032BD4  func  func_80032BD4     compare_rec_two_level_std
0x800355C8  func  func_800355C8     relink_active_ptr_and_flag4
0x800356A0  func  func_800356A0     backward_word_copy_with_tail_dispatch
0x800357E8  func  func_800357E8     int_to_digits
0x800358FC  func  func_800358FC     call_8e590_mod
0x80035BE4  func  func_80035BE4     forward_args_call_35ab8_35af0
0x80035DF4  func  func_80035DF4     clear_two_fields_800eb288
0x80036BCC  func  func_80036BCC     find_entry_by_be16_id
0x80036D70  func  func_80036D70     read_stream_u32be
0x8003735C  func  func_8003735C     scan_flag80_entries_800eb288
0x800374A8  func  func_800374A8     set_field81_call_373c8
0x800384E4  func  func_800384E4     read_stream_byte_set_bit12
0x80038B08  func  func_80038B08     call_4036c_reset_field48_81_98
0x80038DB8  func  func_80038DB8     append_stream_word_and_advance_field88
0x80039140  func  func_80039140     derive_layout_bounds_from_src
0x800391E4  func  func_800391E4     init_highlight_and_shadow_slots
0x80039A14  func  func_80039A14     poll_call_393b0_until_bit13
0x80039A60  func  func_80039A60     poll_call_393b0_until_bit13_v2
0x80039F44  func  func_80039F44     init_fields_call_8e590_field62
0x80039F90  func  func_80039F90     call_4036c_clear_three_words
0x8003A920  func  func_8003A920     propagate_pos_to_slots
0x8003A95C  func  func_8003A95C     set_pos_propagate
0x8003B714  func  func_8003B714     call_80035AF0_default_a2
0x8003B734  func  func_8003B734     pad_down_left
0x8003B744  func  func_8003B744     bank_table_lookup
0x8003B7E0  func  func_8003B7E0     read_stream_byte_advance
0x8003BBF8  func  func_8003BBF8     register_handler_8003BA14
0x8003BEB8  func  func_8003BEB8     register_handler_8003BD14
0x8003C05C  data  D_8003C05C        L_8003C05C
0x8003C498  func  func_8003C498     register_handler_8003C328
0x8003C7A0  func  func_8003C7A0     sync_duel_side_flag
0x8003CE48  func  func_8003CE48     restore_status_flags_from_backup
0x8003D334  func  func_8003D334     draw_tiled_bg_sprites
0x8003D614  func  func_8003D614     reload_timer_or_delete_and_age_slot
0x8003E46C  func  func_8003E46C     set_flag_bits_mode
0x8003E7D4  func  func_8003E7D4     arm_and_call_8003E490
0x8003E80C  func  func_8003E80C     arm_and_call_8003E490_full
0x8003E858  func  func_8003E858     memcard_save_state_step
0x8003EE90  func  func_8003EE90     arm_and_call_8003E854
0x8003F70C  func  func_8003F70C     call_8003F454_or_default
0x8003FCD8  func  func_8003FCD8     arm_and_call_8003F8D4_state29
0x8003FE70  func  func_8003FE70     rng_seed
0x8003FEE0  func  func_8003FEE0     call_80048658_255_0
0x8003FF08  func  func_8003FF08     call_masked_and_store_orred
0x8003FF34  func  func_8003FF34     call_80047430_neg8_0
0x8003FF58  func  func_8003FF58     call_set_1582_1584_negated
0x8003FF88  func  func_8003FF88     call_80048658_flagged
0x8003FFB4  func  func_8003FFB4     call_80045334_masked_flag
0x8003FFD8  func  func_8003FFD8     call_80047314_masked_flag
0x8003FFFC  func  func_8003FFFC     call_800473f0_dual_then_80047ec4
0x8004002C  func  func_8004002C     find_free_slot_0x10_0x60
0x8004006C  func  func_8004006C     find_free_slot_0x0_0x60
0x800400AC  func  func_800400AC     get_or_init_D_800EFE48_slot
0x8004036C  func  func_8004036C     __builtin_delete
0x80040390  func  func_80040390     init_slot_link_tables_and_flags
0x800403F0  func  func_800403F0     reset_rec_flags_trigger
0x80040424  func  func_80040424     set_kind_and_clear_bit4
0x8004044C  func  func_8004044C     set_pos_and_kind
0x80040468  func  func_80040468     init_obj_id_pos_flags
