name,address
gDebugMenu_abMainModeByEntry,80090d68
gDebugMenu_apfnAlternatePageSteps,80090d7c
gDebugMenu_apfnPrimaryPageSteps,80090d84
gDisplayObject_ListRenderers,80090fb0
gModel_abImageCopyFrameRows,80091508
gDebugEffect_abPreviewState,8009af2a
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_bss_image_before_viewport_bin_start,8009b090
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_bss_image_before_viewport_bin_end,8009b146
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_bss_image_after_viewport_bin_start,8009b14a
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_bss_image_after_viewport_bin_end,800fe728
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_reserved_zero_bin_start,800fe728
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_reserved_zero_bin_end,8013a000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_8013a000_bin_start,8013a000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_8013a000_bin_end,80146000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_80146000_bin_start,80146000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_80146000_bin_end,80168000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_80168000_bin_start,80168000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_80168000_bin_end,8017a000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_8017a000_bin_start,8017a000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_8017a000_bin_end,80180000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_80180000_bin_start,80180000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_overlays_slot_80180000_bin_end,801ac000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_tail_data_bin_start,801ac000
_binary__home_marchaleski_memories_decomp_tmp_splat_assets_tail_data_bin_end,801e0000
