# Derived from 16-byte .text padding after the last function of each
# original translation unit. 233 boundaries => 234 source files.
# vram_of_next_file    last_function_of_previous_file    pad_words
0x80073840  func_80073830  1
0x80073850  func_80073840  1
0x80073860  func_80073850  1
0x80073870  func_80073860  1
0x80073880  func_80073870  1
0x80073890  func_80073880  1
0x800738A0  func_80073890  1
0x800738B0  func_800738A0  1
0x800738E0  func_800738D0  1
0x800738F0  func_800738E0  1
0x80073900  func_800738F0  1
0x80073910  func_80073900  1
0x80073920  func_80073910  1
0x80073930  func_80073920  1
0x80073940  func_80073930  1
0x80073950  func_80073940  1
0x80073AC0  func_80073A88  1
0x80073D60  func_80073C5C  1
0x80074000  func_80073FBC  1
0x80074010  func_80074000  1
0x80074020  func_80074010  1
0x80074030  func_80074020  1
0x80074040  func_80074030  1
0x80074050  func_80074040  1
0x800740F0  func_80074078  2
0x80074100  func_800740F0  1
0x80074170  func_80074100  2
0x80074390  func_80074380  1
0x80074A70  func_80074A58  3
0x80074A80  func_80074A70  1
0x80074A90  func_80074A80  1
0x80074AA0  func_80074A90  1
0x80074BC0  func_80074B90  3
0x80074E60  func_80074E38  1
0x80074FE0  func_80074F68  2
0x80075B20  func_80075AB8  3
0x80075B30  func_80075B20  1
0x80075B60  func_80075B30  3
0x80075BE0  func_80075B60  3
0x80075CB0  func_80075BE0  1
0x80075DC0  func_80075D30  1
0x800762C0  func_80075DE0  3
0x800767E0  func_80076790  1
0x80076850  func_80076820  3
0x80076B10  func_80076850  1
0x80076B40  func_80076B10  3
0x80076D10  func_80076B70  3
0x80076D20  func_80076D10  1
0x80076D90  func_80076D20  1
0x80076ED0  func_80076D90  1
0x80077090  func_80076ED0  1
0x800771B0  func_80077150  1
0x80077210  func_800771B0  1
0x800772F0  func_80077240  3
0x80077450  func_800773C4  1
0x80077A50  func_80077450  2
0x80077C70  func_80077C50  1
0x80077FF0  func_80077C70  1
0x800781C0  func_80077FF0  1
0x800781F0  func_800781C0  1
0x80078440  func_800783DC  3
0x800784D0  func_80078440  3
0x80078580  func_800784D0  1
0x800785C0  func_80078580  3
0x80078680  func_800785C0  2
0x800786A0  func_80078680  1
0x8007A710  func_8007A634  1
0x8007A820  func_8007A710  3
0x8007A860  func_8007A840  3
0x8007A890  func_8007A860  3
0x8007BC80  func_8007BC48  3
0x8007CDC0  func_8007CD6C  3
0x8007D2F0  func_8007D2D0  1
0x8007D3F0  func_8007D3C4  3
0x8007E2F0  func_8007E298  2
0x8007E320  func_8007E2F0  3
0x8007E350  func_8007E320  3
0x8007E3D0  func_8007E390  2
0x8007E600  func_8007E510  1
0x8007E710  func_8007E600  3
0x8007E7F0  func_8007E790  3
0x8007E860  func_8007E7F0  2
0x8007E880  func_8007E860  3
0x8007E8A0  func_8007E880  3
0x8007E8D0  func_8007E8A0  3
0x8007F350  func_8007EF84  3
0x80082250  func_80082228  1
0x80082290  func_80082274  3
0x800824B0  func_80082384  3
0x800825A0  func_800824B0  2
0x80082610  func_800825A0  3
0x80082680  func_80082610  3
0x80082740  func_80082680  3
0x80082780  func_80082740  1
0x800827C0  func_80082780  1
0x800827E0  func_800827C0  2
0x80082820  func_800827E0  1
0x80082840  func_80082820  2
0x80082870  func_80082840  2
0x800828A0  func_80082870  2
