# Functions this tree MATCHES that krystalgamer/memories-decomp still lists
# as unmatched_asm in config/slus_01411/functions.csv, smallest first.
# Generated 2026-09-04 against his master. 166 functions, 63688 bytes.
func_80030FA0  0x30
func_8005C5D4  0x58
func_8004A764  0x5c
func_8004A8E4  0x5c
func_80026C0C  0x60
func_80013B04  0x64
func_800472A8  0x6c
func_8004A6F8  0x6c
func_8004BBBC  0x70
func_80029164  0x7c
func_8002C604  0x88
func_80038800  0x88
func_80038D2C  0x8c
func_8003771C  0x90
func_8004733C  0x90
func_8005A618  0x90
func_80024D34  0x94
func_8005A3D0  0x98
func_80025028  0xa0
func_80031F7C  0xa0
func_8003201C  0xa0
func_800355C8  0xa0
func_8003767C  0xa0
func_8001B0CC  0xa4
func_80012DB4  0xa8
func_80033BE8  0xa8
func_800359B0  0xa8
func_80026C6C  0xac
func_80023090  0xb4
func_800338E4  0xb4
func_80049AF4  0xb8
func_8001D5B4  0xbc
func_8004B854  0xbc
func_80015078  0xc4
func_800320BC  0xc8
func_80059700  0xc8
func_80014E1C  0xd0
func_800178BC  0xd0
func_8002A6B8  0xd0
func_800300C8  0xd0
func_80014A5C  0xd4
func_800476B4  0xd4
func_8002A2F4  0xd8
func_8003F2B0  0xd8
func_80061008  0xd8
func_80047788  0xdc
func_8004A43C  0xdc
func_8005A53C  0xdc
func_8005C388  0xdc
func_8003B5C8  0xe4
func_800388D8  0xec
func_80024734  0xf0
func_80015DFC  0xf8
func_800177C4  0xf8
func_80048F14  0xfc
func_80048920  0x108
func_8002E5AC  0x10c
func_8003D174  0x114
func_80041E7C  0x114
func_80047DB0  0x114
func_8001944C  0x118
func_80045334  0x118
func_8003A440  0x120
func_8003CA5C  0x120
func_8002FA54  0x124
func_80038BF0  0x124
func_8003AC48  0x124
func_8004DB14  0x124
func_80036C14  0x128
func_8004B374  0x128
func_8003C7A0  0x12c
func_800175A0  0x130
func_8002525C  0x130
func_8002D458  0x130
func_8002DDFC  0x130
func_80031CD4  0x130
func_80037B40  0x134
func_8005611C  0x134
func_800151D8  0x138
func_80039D64  0x138
func_8002DC38  0x13c
func_8002E470  0x13c
func_8002EC74  0x13c
func_8005F27C  0x13c
func_8004C420  0x140
func_80025BEC  0x144
func_80049920  0x144
func_80050F24  0x148
func_800289BC  0x14c
func_8003A990  0x154
func_80038148  0x160
func_80020BE4  0x168
func_800434F4  0x168
func_8002F4C0  0x170
func_80046DE8  0x170
func_8003C628  0x178
func_8003A01C  0x17c
func_80043BCC  0x17c
func_800464F0  0x17c
func_8004A0FC  0x180
func_8004BCE8  0x184
func_8002FB78  0x198
func_80016E70  0x19c
func_80057F38  0x19c
func_800255FC  0x1a4
func_80032184  0x1a4
func_8003BD14  0x1a4
func_8003353C  0x1b4
func_800371A8  0x1b4
func_8001B938  0x1b8
func_80048768  0x1b8
func_8002596C  0x1bc
func_80047480  0x1bc
func_8004A518  0x1c0
func_8005F91C  0x1c8
func_800257A0  0x1cc
func_8005A6A8  0x1d0
func_80015310  0x1d4
func_80014C40  0x1dc
func_8003DA40  0x1dc
func_8006C120  0x1dc
func_800307B8  0x1e0
func_8003BA14  0x1e4
func_8002E730  0x1e8
func_8004AAFC  0x1e8
func_80058434  0x1f0
func_80041F90  0x1f8
func_8004D914  0x200
func_8005B64C  0x210
func_8005D994  0x210
func_8005A98C  0x214
func_800339D0  0x218
func_80052694  0x218
func_8005FC1C  0x228
func_80044608  0x230
func_80018DB4  0x238
func_800220B8  0x23c
func_8002E128  0x248
func_80050584  0x24c
func_80020988  0x25c
func_8002538C  0x270
func_800164FC  0x27c
func_80027508  0x284
func_80040588  0x28c
func_80040DD8  0x290
func_8001F0D0  0x294
func_80026DC8  0x298
func_8001898C  0x2a8
func_80056250  0x2b4
func_8003F454  0x2b8
func_8005BB7C  0x2c0
func_80031084  0x2c8
func_80041068  0x2d8
func_8005B8A0  0x2dc
func_8005106C  0x2e4
func_8003AD6C  0x2e8
func_8003D74C  0x2f4
func_8002F630  0x300
func_8003B054  0x324
func_8005FE44  0x32c
func_80022674  0x380
func_80018608  0x384
func_800229F4  0x3a0
func_8006BCA4  0x47c
func_8005CEF0  0x488
func_80016784  0x580
