func	unit	status	len_err	diffs	flags	needs_guard
func_80012B50	func_80012B50	MATCH	0	0	-G8 -msplit-addresses	
func_80012CD4	D_80012CD4_fn	MATCH	0	0	-G8 -msplit-addresses -fno-schedule-insns	
func_80012D4C	call_four_update_funcs	MATCH	0	0	-G8 -msplit-addresses	
func_80012D84	call_80012d4c_n_times	MATCH	0	0	-G8 -msplit-addresses	
func_80012DB4	func_80012DB4	ERROR	None	None	-G8 -msplit-addresses	D_8009AFA4
func_80012E5C	gpu_disp_buff_swap_and_ot_sort_dispatch	STUB				
func_8001306C	func_8001306C	MATCH	0	0	-G8 -msplit-addresses	
func_80013154	gs_ot_double_buffer_init	STUB				
func_800134B4	zero_word_table_and_flag	MATCH	0	0	-G8 -msplit-addresses	
func_800134E0	func_800134E0	MATCH	0	0	-G8 -msplit-addresses	
func_800136D4	func_800136D4	MATCH	0	0	-G8	
func_800136E4	func_800136E4	OK	0	2	-G8 -msplit-addresses	
func_800137E4	func_800137E4	MATCH	0	0	-G0 -mno-split-addresses	
func_80013898	ds_init_and_wait_ready	MATCH	0	0	-G8 -msplit-addresses	
func_800138F4	retry_until_nonzero_then_finalize	MATCH	0	0	-G8 -msplit-addresses	
func_80013940	func_80013940	MATCH	0	0	-G8 -msplit-addresses	
func_80013998	func_80013998	MATCH	0	0	-G8 -msplit-addresses	
func_80013A94	init_800e9e18_once	MATCH	0	0	-G8 -msplit-addresses	
func_80013B04	func_80013B04	MATCH	0	0	-G8 -msplit-addresses	
func_80013B68	func_80013B68	STUB				
func_80013C28	func_80013C28	STUB				
func_800140A0	ds_packet_dispatch_5_2	MATCH	0	0	-G8 -msplit-addresses	
func_80014134	ds_packet_dispatch	MATCH	0	0	-G8 -msplit-addresses	
func_800141A8	ds_command_dispatch_v2	MATCH	0	0	-G8 -msplit-addresses	
func_80014220	ds_command_notify	MATCH	0	0	-G8 -msplit-addresses	
func_80014294	ds_command_dispatch	MATCH	0	0	-G8 -msplit-addresses	
func_80014308	ds_packet_dispatch_5_2_alt	MATCH	0	0	-G8 -msplit-addresses	
func_80014390	call_7e710_store_and_clear_bit	MATCH	0	0	-G8 -msplit-addresses	
func_800143DC	copy_9e18_to_9e60_and_flags	STUB				
func_800144B8	func_800144B8	MATCH	0	0	-G8 -msplit-addresses	
func_8001455C	func_8001455C	OK	0	4	-G8 -msplit-addresses	
func_80014A5C	func_80014A5C	MATCH	0	0	-G8	
func_80014B30	func_80014B30	MATCH	0	0	-G8 -msplit-addresses	
func_80014C40	func_80014C40	STUB				
func_80014E1C	func_80014E1C	MATCH	0	0	-G8	
func_80014EEC	reinit_d800e9e60_obj	MATCH	0	0	-G8 -msplit-addresses	
func_80014FA4	check_duel_flags_call_15010	MATCH	0	0	-G8 -msplit-addresses	
func_80015010	update_state_flags_2	MATCH	0	0	-G8 -msplit-addresses	
func_80015038	call_80015010_if_flags	MATCH	0	0	-G8	
func_80015078	func_80015078	MATCH	0	0	-G8 -msplit-addresses	
func_8001513C	func_8001513C	MATCH	0	0	-G8	
func_800151B0	reset_obj_fields_and_flag	MATCH	0	0	-G8 -msplit-addresses	
func_800151D8	func_800151D8	STUB				
func_80015310	func_80015310	STUB				
func_800154E4	func_800154E4	MATCH	0	0	-G8 -msplit-addresses	
func_800156B8	fill_byte_range_10_to_39	MATCH	0	0	-G8 -msplit-addresses	
func_800156DC	func_800156DC	MATCH	0	0	-G8 -msplit-addresses	
func_8001572C	reset_field6_7_800e9ec8_flag_v2	MATCH	0	0	-G8 -msplit-addresses	
func_80015780	reset_obj_poll_flag_and_call	MATCH	0	0	-G8 -msplit-addresses	
func_800157DC	call_80015780_flags_and_8001572c	MATCH	0	0	-G0 -msplit-addresses	
func_8001581C	func_8001581C	MATCH	0	0	-G8 -msplit-addresses	
func_80015870	reset_9ec8_state_if_flag145	MATCH	0	0	-G8 -msplit-addresses	
func_800158B8	func_800158B8	MATCH	0	0	-G8 -msplit-addresses	
func_80015904	func_80015904	MATCH	0	0	-G8 -msplit-addresses	
func_80015944	func_80015944	MATCH	0	0	-G8 -msplit-addresses	
func_80015998	loop_call_four_update_funcs_while_flag80	MATCH	0	0	-G0 -msplit-addresses	
func_800159D8	call_80015780_then_80015998	MATCH	0	0	-G8 -msplit-addresses	
func_80015A00	func_80015A00	MATCH	0	0	-G8 -msplit-addresses	
func_80015A28	func_80015A28	MATCH	0	0	-G8 -msplit-addresses	
func_80015A50	func_80015A50	MATCH	0	0	-G8 -msplit-addresses	
func_80015A94	func_80015A94	MATCH	0	0	-G8 -msplit-addresses	
func_80015AD8	func_80015AD8	MATCH	0	0	-G8 -msplit-addresses	
func_80015B00	func_80015B00	MATCH	0	0	-G8 -msplit-addresses	
func_80015B28	func_80015B28	MATCH	0	0	-G8 -msplit-addresses	
func_80015B50	call_800158b8_flag_80015870_and_loop	MATCH	0	0	-G0 -msplit-addresses	
func_80015B94	func_80015B94	MATCH	0	0	-G8 -msplit-addresses	
func_80015BD8	set_obj_fields_5_6	MATCH	0	0	-G0 -msplit-addresses	
func_80015BF0	set_obj_fields_4_5_6	MATCH	0	0	-G0 -msplit-addresses	
func_80015C0C	call_80015780_flag_and_8001572c	MATCH	0	0	-G0 -msplit-addresses	
func_80015C48	func_80015C48	MATCH	0	0	-G8 -msplit-addresses	
func_80015C84	func_80015C84	MATCH	0	0	-G8 -msplit-addresses	
func_80015CC0	func_80015CC0	MATCH	0	0	-G8 -msplit-addresses	
func_80015CFC	gp_flag_set_8009b141	MATCH	0	0	-G8 -msplit-addresses	
func_80015D18	func_80015D18	OK	0	1	-G8 -msplit-addresses	
func_80015DB8	func_80015DB8	MATCH	0	0	-G8 -msplit-addresses	
func_80015DFC	func_80015DFC	OK	0	1	-G8 -msplit-addresses	
func_80015EF4	func_80015EF4	STUB				
func_800164FC	func_800164FC	OK	0	2	-G0 -mno-split-addresses	
func_80016778	func_80016778	MATCH	0	0	-G8	
func_80016784	func_80016784	STUB				
func_80016D04	forward_fields_30_32_to_80016784	MATCH	0	0	-G8	
func_80016D2C	digit_sprite_draw	MATCH	0	0	-G8 -msplit-addresses	
func_80016DDC	func_80016DDC	MATCH	0	0	-G8 -msplit-addresses	
func_80016E70	draw_digit_widget_pair	MATCH	0	0	-G8 -msplit-addresses	
func_8001700C	card_flags	MATCH	0	0	-G8	
func_80017034	card_pick	MATCH	0	0	-G8	
func_800170C8	stat_clamp	MATCH	0	0	-G8	
func_80017130	init_geom_scratch_record	MATCH	0	0	-G8 -msplit-addresses	
func_800171A8	select_sound_preset	STUB				
func_8001755C	call_530c4_533d8_56250	MATCH	0	0	-G0 -mno-split-addresses	
func_800176D0	hand_slots	MATCH	0	0	-G8	
func_80017708	func_80017708	MATCH	0	0	-G8 -msplit-addresses	
func_8001778C	clear_entry_fields_801a7ad8	MATCH	0	0	-G8	
func_800177C4	func_800177C4	OK	0	1	-G8 -msplit-addresses	
func_800178BC	calibrate_screen_offset	OK	0	1	-G8 -msplit-addresses	
func_8001798C	register_handler_800171A8	MATCH	0	0	-G0 -mno-split-addresses	
func_80017DB4	set_marker_from_table801a7ad8_flags	MATCH	0	0	-G8 -msplit-addresses	
func_80017E3C	obj_apply_table801a7ad8_flags	MATCH	0	0	-G8 -msplit-addresses	
func_80017F04	func_80017F04	STUB				
func_80018004	create_obj_set_flag_and_marker	MATCH	0	0	-G8	
func_80018080	func_80018080	MATCH	0	0	-G8	
func_80018150	func_80018150	MATCH	0	0	-G8 -msplit-addresses	
func_800181EC	func_800181EC	MATCH	0	0	-G8	
func_8001825C	func_8001825C	STUB				
func_80018608	func_80018608	OK	0	42	-G8 -msplit-addresses	
func_80018C34	func_80018C34	MATCH	0	0	-G8	
func_80018CF8	func_80018CF8	MATCH	0	0	-G8 -msplit-addresses	
func_80018DB4	duel_field_slot_spawn_dispatch	MATCH	0	0	-G8 -msplit-addresses	
func_80018FEC	func_80018FEC	STUB				
func_80019564	spawn_container_marker_obj	MATCH	0	0	-G8	
func_80019608	func_80019608	STUB				
func_80019A08	fusion	OK	51	53	-G8	
func_80019B2C	duel_tween	OK	12	12	-G8	
func_80019BD0	func_80019BD0	MATCH	0	0	-G8 -msplit-addresses	
func_80019CC8	call_ccce4_guarded_offset288	MATCH	0	0	-G8 -mno-split-addresses	
func_8001B0CC	project_slot_to_screen_x	OK	0	1	-G0 -msplit-addresses	
func_8001B170	func_8001B170	STUB				
func_8001B780	slot_pos	MATCH	0	0	-G8	
func_8001B7AC	func_8001B7AC	MATCH	0	0	-G8	
func_8001B8B8	hand_dim	MATCH	0	0	-G8	
func_8001B938	func_8001B938	STUB				
func_8001BD48	pad_l2	MATCH	0	0	-G8 -mno-split-addresses	
func_8001D240	func_8001D240	MATCH	0	0	-G8	
func_8001D344	step_component_toward_target	MATCH	0	0	-G8 -msplit-addresses	
func_8001D3C4	tick_lerp_position_toward_target	MATCH	0	0	-G8	
func_8001D518	get_or_create_cached_slot	MATCH	0	0	-G8 -msplit-addresses	
func_8001D5B4	func_8001D5B4	OK	0	8	-G8 -msplit-addresses	
func_8001EC70	func_8001EC70	MATCH	0	0	-G8 -msplit-addresses	
func_8001ED20	func_8001ED20	MATCH	0	0	-G8	
func_8001EE44	func_8001EE44	MATCH	0	0	-G8 -msplit-addresses	
func_8001EF1C	func_8001EF1C	MATCH	0	0	-G8 -msplit-addresses	
func_8001EF78	func_8001EF78	MATCH	0	0	-G8	
func_8001EFD4	func_8001EFD4	MATCH	0	0	-G8	
func_8001F364	duel_flags_state_and_field_spawn_dispatch	STUB				
func_800208D4	func_800208D4	MATCH	0	0	-G8 -mno-split-addresses	
func_80020988	func_80020988	OK	0	23	-G8 -mno-split-addresses	
func_80020BE4	func_80020BE4	MATCH	0	0	-G0 -mno-split-addresses	
func_80020D4C	update_orbiting_effect_obj	MATCH	0	0	-G8 -mno-split-addresses	
func_80020EE8	flag80_test_set_field8_decrement	MATCH	0	0	-G8 -msplit-addresses	
func_80020F4C	func_80020F4C	STUB				
func_80021480	func_80021480	MATCH	0	0	-G8	
func_80021558	func_80021558	MATCH	0	0	-G8 -msplit-addresses	
func_80021598	func_80021598	STUB				
func_80021810	weighted_random_pick	MATCH	0	0	-G8 -msplit-addresses	
func_80021894	ring_buffer_insert_801d0200	MATCH	0	0	-G8 -msplit-addresses	
func_800220B8	func_800220B8	STUB				
func_80022618	debug_effect_msg_selector	MATCH	0	0	-G8 -msplit-addresses	
func_80022674	obj_charge_meter_dispatch	STUB				
func_80022D94	func_80022D94	MATCH	0	0	-G8 -msplit-addresses	
func_80022EEC	apply_stat_template_or_delete	MATCH	0	0	-G8 -msplit-addresses	
func_80022F98	func_80022F98	MATCH	0	0	-G8 -msplit-addresses	
func_80022FF0	clear_entry_list_5	MATCH	0	0	-G8	
func_80023090	func_80023090	MATCH	0	0	-G8 -msplit-addresses	
func_8002348C	func_8002348C	MATCH	0	0	-G8 -msplit-addresses	
func_800234E4	func_800234E4	MATCH	0	0	-G8 -msplit-addresses	
func_800235C0	update_active_move_record	STUB				
func_80023FBC	decode_status_flags_call_80023d08	MATCH	0	0	-G0 -mno-split-addresses	
func_80024060	call_80023fbc_read_field25	MATCH	0	0	-G8	
func_80024088	call_80023d08_read_field25	MATCH	0	0	-G8	
func_800240B0	cursor_card_pick_tick	OK	0	6	-G8	
func_80024200	func_80024200	OK	0	2	-G8 -msplit-addresses	
func_80024388	pad_l2_check_call_dispatch	MATCH	0	0	-G8 -msplit-addresses	
func_800245A0	func_800245A0	MATCH	0	0	-G0 -msplit-addresses	
func_800245EC	duel_seq	OK	12	12	-G0 -mno-split-addresses	
func_80024734	func_80024734	OK	0	2	-G0 -msplit-addresses	
func_80024914	func_80024914	MATCH	0	0	-G8 -msplit-addresses	
func_80024954	call_80024914_clear_field22	MATCH	0	0	-G8	
func_8002497C	func_8002497C	OK	-1	13	-G8	
func_800249E0	func_800249E0	MATCH	0	0	-G8	
func_80024C1C	spawn_card_type_icon_obj	MATCH	0	0	-G8 -msplit-addresses	
func_80024D34	func_80024D34	MATCH	0	0	-G8 -msplit-addresses	
func_80024DC8	init_800eb26c_fields_from_args	MATCH	0	0	-G0 -mno-split-addresses	
func_80024E24	flag80	MATCH	0	0	-G8	
func_80024E4C	func_80024E4C	MATCH	0	0	-G8	
func_80024E58	func_80024E58	STUB				
func_80025028	find_table801a7ad8_entry_matching_id	MATCH	0	0	-G8 -msplit-addresses	
func_800250C8	func_800250C8	MATCH	0	0	-G8 -msplit-addresses	
func_8002525C	func_8002525C	MATCH	0	0	-G8 -msplit-addresses	
func_8002538C	func_8002538C	STUB				
func_800255FC	arm_field_effect_marker	OK	0	5	-G8 -msplit-addresses	
func_800257A0	func_800257A0	STUB				
func_8002596C	func_8002596C	OK	0	7	-G8	
func_80025B28	advance_obj_timer_and_check_thresholds	MATCH	0	0	-G8 -msplit-addresses	
func_80025BEC	spawn_or_rearm_field_effect_marker	MATCH	0	0	-G8	
func_80025EE0	reset_or_configure_obj_call_48658	MATCH	0	0	-G8 -msplit-addresses	
func_80025F3C	func_80025F3C	MATCH	0	0	-G8 -msplit-addresses	
func_800260D0	func_800260D0	OK	0	4	-G8 -msplit-addresses	
func_8002622C	func_8002622C	MATCH	0	0	-G8 -mno-split-addresses	
func_800262D4	obj_lifecycle_state_dispatch	STUB				
func_80026A3C	func_80026A3C	MATCH	0	0	-G8 -msplit-addresses	
func_80026B34	func_80026B34	MATCH	0	0	-G8 -msplit-addresses	
func_80026BA4	func_80026BA4	MATCH	0	0	-G8 -msplit-addresses	
func_80026C0C	func_80026C0C	MATCH	0	0	-G8 -msplit-addresses	
func_80026C6C	table801a7ad8_collect_below_threshold	MATCH	0	0	-G8	
func_80026D18	table801a7ad8_row_search	MATCH	0	0	-G8 -msplit-addresses	
func_80027060	func_80027060	MATCH	0	0	-G8 -msplit-addresses	
func_8002712C	func_8002712C	MATCH	0	0	-G8 -msplit-addresses	
func_80027508	func_80027508	STUB				
func_8002778C	func_8002778C	MATCH	0	0	-G8	
func_800278A0	func_800278A0	MATCH	0	0	-G8 -msplit-addresses	
func_800279BC	func_800279BC	STUB				
func_80027DF8	func_80027DF8	MATCH	0	0	-G0 -msplit-addresses	
func_80028220	init_801ab00c_pair	MATCH	0	0	-G8	
func_80028260	unpack_high_bit_value	MATCH	0	0	-G8	
func_8002827C	func_8002827C	MATCH	0	0	-G8 -msplit-addresses	
func_800282E8	test_and_set_flag_8009b248	MATCH	0	0	-G8	
func_80028310	func_80028310	MATCH	0	0	-G8 -msplit-addresses	
func_800283EC	func_800283EC	MATCH	0	0	-G8	
func_800283F4	func_800283F4	STUB				
func_8002892C	func_8002892C	MATCH	0	0	-G8	
func_800289AC	func_800289AC	MATCH	0	0	-G8	
func_800289B4	func_800289B4	MATCH	0	0	-G8	
